Notes,State,State Code,Year,Year Code,Diabetes,Diabetes Code,Tobacco Use,Tobacco Use Code,Births
,Delaware,10,2011,2011,No,2,Yes,1,1283
,Delaware,10,2011,2011,No,2,No,2,9356
,Delaware,10,2012,2012,Yes,1,Yes,1,92
,Delaware,10,2012,2012,Yes,1,No,2,789
,Delaware,10,2012,2012,No,2,Yes,1,1289
,Delaware,10,2012,2012,No,2,No,2,8822
,Delaware,10,2013,2013,Yes,1,Yes,1,65
,Delaware,10,2013,2013,Yes,1,No,2,708
,Delaware,10,2013,2013,No,2,Yes,1,1163
,Delaware,10,2013,2013,No,2,No,2,8855
,Delaware,10,2014,2014,Yes,1,Yes,1,72
,Delaware,10,2014,2014,Yes,1,No,2,884
,Delaware,10,2014,2014,No,2,Yes,1,1113
,Delaware,10,2014,2014,No,2,No,2,8868
,Delaware,10,2015,2015,Yes,1,Yes,1,59
,Delaware,10,2015,2015,Yes,1,No,2,851
,Delaware,10,2015,2015,No,2,Yes,1,1053
,Delaware,10,2015,2015,No,2,No,2,9193
,District of Columbia,11,2010,2010,Yes,1,No,2,298
,District of Columbia,11,2010,2010,No,2,Yes,1,282
,District of Columbia,11,2010,2010,No,2,No,2,7751
,District of Columbia,11,2011,2011,Yes,1,Yes,1,18
,District of Columbia,11,2011,2011,Yes,1,No,2,317
,District of Columbia,11,2011,2011,No,2,Yes,1,262
,District of Columbia,11,2011,2011,No,2,No,2,7827
,District of Columbia,11,2012,2012,Yes,1,Yes,1,14
,District of Columbia,11,2012,2012,Yes,1,No,2,368
,District of Columbia,11,2012,2012,No,2,Yes,1,315
,District of Columbia,11,2012,2012,No,2,No,2,8078
,District of Columbia,11,2013,2013,Yes,1,Yes,1,15
,District of Columbia,11,2013,2013,Yes,1,No,2,389
,District of Columbia,11,2013,2013,No,2,Yes,1,244
,District of Columbia,11,2013,2013,No,2,No,2,8032
,District of Columbia,11,2014,2014,Yes,1,No,2,323
,District of Columbia,11,2014,2014,No,2,Yes,1,228
,District of Columbia,11,2014,2014,No,2,No,2,8503
,District of Columbia,11,2015,2015,Yes,1,Yes,1,13
,District of Columbia,11,2015,2015,Yes,1,No,2,364
,District of Columbia,11,2015,2015,No,2,Yes,1,230
,District of Columbia,11,2015,2015,No,2,No,2,8812
,Florida,12,2011,2011,Yes,1,Yes,1,747
,Florida,12,2011,2011,Yes,1,No,2,11569
,Florida,12,2011,2011,No,2,Yes,1,13388
,Florida,12,2011,2011,No,2,No,2,186144
,Florida,12,2012,2012,Yes,1,Yes,1,749
,Florida,12,2012,2012,Yes,1,No,2,11421
,Florida,12,2012,2012,No,2,Yes,1,13313
,Florida,12,2012,2012,No,2,No,2,186632
,Florida,12,2013,2013,Yes,1,Yes,1,729
,Florida,12,2013,2013,Yes,1,No,2,10705
,Florida,12,2013,2013,No,2,Yes,1,13351
,Florida,12,2013,2013,No,2,No,2,189597
,Florida,12,2014,2014,Yes,1,Yes,1,678
,Florida,12,2014,2014,Yes,1,No,2,10665
,Florida,12,2014,2014,No,2,Yes,1,13312
,Florida,12,2014,2014,No,2,No,2,193141
,Florida,12,2015,2015,Yes,1,Yes,1,607
,Florida,12,2015,2015,Yes,1,No,2,10706
,Florida,12,2015,2015,No,2,Yes,1,12311
,Florida,12,2015,2015,No,2,No,2,199286
,Georgia,13,2011,2011,Yes,1,Yes,1,18
,Georgia,13,2011,2011,Yes,1,No,2,99
,Georgia,13,2011,2011,No,2,Yes,1,247
,Georgia,13,2011,2011,No,2,No,2,1473
,Georgia,13,2012,2012,Yes,1,Yes,1,328
,Georgia,13,2012,2012,Yes,1,No,2,4203
,Georgia,13,2012,2012,No,2,Yes,1,7426
,Georgia,13,2012,2012,No,2,No,2,88565
,Georgia,13,2013,2013,Yes,1,Yes,1,373
,Georgia,13,2013,2013,Yes,1,No,2,4565
,Georgia,13,2013,2013,No,2,Yes,1,7185
,Georgia,13,2013,2013,No,2,No,2,92310
,Georgia,13,2014,2014,Yes,1,Yes,1,314
,Georgia,13,2014,2014,Yes,1,No,2,5290
,Georgia,13,2014,2014,No,2,Yes,1,7387
,Georgia,13,2014,2014,No,2,No,2,105750
,Georgia,13,2015,2015,Yes,1,Yes,1,323
,Georgia,13,2015,2015,Yes,1,No,2,5845
,Georgia,13,2015,2015,No,2,Yes,1,7080
,Georgia,13,2015,2015,No,2,No,2,116438
,Hawaii,15,2015,2015,Yes,1,Yes,1,70
,Hawaii,15,2015,2015,Yes,1,No,2,1400
,Hawaii,15,2015,2015,No,2,Yes,1,599
,Hawaii,15,2015,2015,No,2,No,2,12474
,Idaho,16,2007,2007,Yes,1,Yes,1,146
,Idaho,16,2007,2007,Yes,1,No,2,1005
,Idaho,16,2007,2007,No,2,Yes,1,2812
,Idaho,16,2007,2007,No,2,No,2,20333
,Idaho,16,2008,2008,Yes,1,Yes,1,159
,Idaho,16,2008,2008,Yes,1,No,2,1052
,Idaho,16,2008,2008,No,2,Yes,1,2757
,Idaho,16,2008,2008,No,2,No,2,20779
,Idaho,16,2009,2009,Yes,1,Yes,1,143
,Idaho,16,2009,2009,Yes,1,No,2,1013
,Idaho,16,2009,2009,No,2,Yes,1,2699
,Idaho,16,2009,2009,No,2,No,2,19829
,Idaho,16,2010,2010,Yes,1,Yes,1,149
,Idaho,16,2010,2010,Yes,1,No,2,1006
,Idaho,16,2010,2010,No,2,Yes,1,2532
,Idaho,16,2010,2010,No,2,No,2,19458
,Idaho,16,2011,2011,Yes,1,Yes,1,105
,Idaho,16,2011,2011,Yes,1,No,2,927
,Idaho,16,2011,2011,No,2,Yes,1,2245
,Idaho,16,2011,2011,No,2,No,2,18974
,Idaho,16,2012,2012,Yes,1,Yes,1,125
,Idaho,16,2012,2012,Yes,1,No,2,1018
,Idaho,16,2012,2012,No,2,Yes,1,2274
,Idaho,16,2012,2012,No,2,No,2,19500
,Idaho,16,2013,2013,Yes,1,Yes,1,142
,Idaho,16,2013,2013,Yes,1,No,2,1059
,Idaho,16,2013,2013,No,2,Yes,1,2180
,Idaho,16,2013,2013,No,2,No,2,18933
,Idaho,16,2014,2014,Yes,1,Yes,1,145
,Idaho,16,2014,2014,Yes,1,No,2,1030
,Idaho,16,2014,2014,No,2,Yes,1,2290
,Idaho,16,2014,2014,No,2,No,2,19365
,Idaho,16,2015,2015,Yes,1,Yes,1,150
,Idaho,16,2015,2015,Yes,1,No,2,1206
,Idaho,16,2015,2015,No,2,Yes,1,2017
,Idaho,16,2015,2015,No,2,No,2,19348
,Illinois,17,2010,2010,Yes,1,Yes,1,773
,Illinois,17,2010,2010,Yes,1,No,2,9074
,Illinois,17,2010,2010,No,2,Yes,1,12100
,Illinois,17,2010,2010,No,2,No,2,139918
,Illinois,17,2011,2011,Yes,1,Yes,1,751
,Illinois,17,2011,2011,Yes,1,No,2,9645
,Illinois,17,2011,2011,No,2,Yes,1,11268
,Illinois,17,2011,2011,No,2,No,2,138205
,Illinois,17,2012,2012,Yes,1,Yes,1,737
,Illinois,17,2012,2012,Yes,1,No,2,10032
,Illinois,17,2012,2012,No,2,Yes,1,10447
,Illinois,17,2012,2012,No,2,No,2,136043
,Illinois,17,2013,2013,Yes,1,Yes,1,789
,Illinois,17,2013,2013,Yes,1,No,2,10321
,Illinois,17,2013,2013,No,2,Yes,1,10097
,Illinois,17,2013,2013,No,2,No,2,134295
,Illinois,17,2014,2014,Yes,1,Yes,1,698
,Illinois,17,2014,2014,Yes,1,No,2,10191
,Illinois,17,2014,2014,No,2,Yes,1,9940
,Illinois,17,2014,2014,No,2,No,2,136359
